Class,CSORD_SumCyclomaticStrict,CSLEX_NumberOfConditionalJumpStatements,CSORD_LogCyclomaticStrict,CSORD_CSNOMNAMM,CSORD_NIM,CSORD_LogStmtDecl,CSORD_CountDeclMethodPrivate,CSORD_CountDeclClassMethod,CSORD_NumberOfClassConstructors,CSORD_MinLineCode,CSORD_SumCyclomatic,CSLEX_NumberOfReturnAndPrintStatements,CSORD_MaxInheritanceTree,CSLEX_NumberOfIdentifies,CSORD_CountDeclMethodPublic,Label_Combine1,Label_LineCoverage,Label_BranchCoverage,Coverageability1,Tests
CharacterEventSet,3,2,0.6020599913279624,1,13,0.8450980400142568,0,0,0,10,3,1,2,40,1,100.0,100.0,100.0,97.06617486471404,3.0
CrossEntropyDriver,3,2,0.6020599913279624,1,13,0.8450980400142568,0,0,0,14,3,1,2,43,1,80.0,80.0,80.0,78.81773399014779,2.0
Document,15,3,1.2041199826559248,4,12,1.2787536009528289,0,0,2,3,15,9,1,122,11,100.0,100.0,100.0,74.91327443632031,20.4
Event,8,0,0.9542425094393248,4,12,1.0,0,0,3,3,8,5,1,47,8,100.0,100.0,100.0,79.98515049098116,16.0
EventSet,9,1,1.0,4,12,1.0413926851582251,0,0,2,3,9,5,1,67,8,100.0,100.0,100.0,76.94805671486337,18.6
NormalizeWhitespace,5,3,0.7781512503836436,1,13,0.6989700043360189,0,0,0,15,4,1,2,44,1,100.0,100.0,100.0,95.63169937410252,4.0
StripHTML,4,3,0.6989700043360189,1,13,0.6020599913279624,0,0,0,11,4,1,2,36,1,98.55,100.0,97.1,94.24503973317805,4.0
UnifyCase,2,1,0.4771212547196624,1,13,0.4771212547196624,0,0,0,5,2,1,2,25,1,100.0,100.0,100.0,97.06617486471404,3.0
jgaap,2,0,0.4771212547196624,2,12,0.6989700043360189,1,2,0,7,2,0,1,29,1,43.65,27.3,60.0,43.004926108374384,2.0
com.sap.engine.services.dc.wsgate.Application,54,11,1.740362689494244,2,12,1.3617278360175928,0,3,2,2,30,16,1,497,19,95.85,97.3,94.4,52.83849355769821,41.0
com.sap.engine.services.dc.wsgate.ArchiveFile,29,9,1.4771212547196624,2,12,1.230448921378274,0,3,2,2,20,12,1,268,11,90.5,95.9,85.1,68.60885845019838,19.6
com.sap.engine.services.dc.wsgate.Deploy,36,11,1.568201724066995,2,12,1.3617278360175928,0,3,2,2,26,14,1,391,15,92.2,96.7,87.7,56.07446128249306,34.4
